data,name,I,E,R,Days
2021/11/19,上海市,75,69,2739,688
2021/11/20,上海市,78,70,2739,689
2021/11/21,上海市,77,75,2745,690
2021/11/22,上海市,73,70,2751,691
2021/11/23,上海市,71,65,2758,692
2021/11/24,上海市,74,66,2759,693
2021/11/25,上海市,75,66,2762,694
2021/11/26,上海市,77,60,2765,695
2021/11/27,上海市,79,65,2768,696
2021/11/28,上海市,79,88,2774,697
2021/11/29,上海市,71,83,2782,698
2021/11/30,上海市,74,74,2782,699
2021/12/1,上海市,74,80,2785,700
2021/12/2,上海市,75,77,2792,701
2021/12/3,上海市,77,84,2796,702
2021/12/4,上海市,77,74,2800,703
2021/12/5,上海市,79,75,2803,704
2021/12/6,上海市,74,74,2813,705
2021/12/7,上海市,81,74,2815,706
2021/12/8,上海市,78,71,2820,707
2021/12/9,上海市,74,67,2825,708
2021/12/10,上海市,71,63,2834,709
2021/12/11,上海市,77,67,2836,710
2021/12/12,上海市,79,74,2839,711
2021/12/13,上海市,83,77,2841,712
2021/12/14,上海市,84,54,2843,713
2021/12/15,上海市,84,46,2845,714
2021/12/16,上海市,87,57,2845,715
2021/12/17,上海市,96,66,2849,716
2021/12/18,上海市,109,67,2850,717
2021/12/19,上海市,120,54,2855,718
