data,name,I,E,R,Days
2022/7/1,天津市,22,33,1989,912
2022/7/2,天津市,21,30,1990,913
2022/7/3,天津市,15,25,1997,914
2022/7/4,天津市,16,36,2000,915
2022/7/5,天津市,16,44,2001,916
2022/7/6,天津市,12,45,2006,917
2022/7/7,天津市,16,44,2007,918
2022/7/8,天津市,17,42,2009,919
2022/7/9,天津市,17,36,2010,920
2022/7/10,天津市,19,46,2010,921
2022/7/11,天津市,21,50,2012,922
2022/7/12,天津市,21,55,2014,923
2022/7/13,天津市,20,52,2016,924
2022/7/14,天津市,16,49,2022,925
2022/7/15,天津市,22,38,2024,926
2022/7/16,天津市,24,43,2026,927
2022/7/17,天津市,24,46,2028,928
2022/7/18,天津市,32,48,2028,929
2022/7/19,天津市,37,56,2028,930
2022/7/20,天津市,35,54,2031,931
2022/7/21,天津市,34,53,2034,932
2022/7/22,天津市,39,49,2034,933
2022/7/23,天津市,34,55,2041,934
2022/7/24,天津市,27,56,2050,935
2022/7/25,天津市,21,43,2057,936
2022/7/26,天津市,21,39,2058,937
2022/7/27,天津市,17,57,2062,938
2022/7/28,天津市,17,45,2063,939
2022/7/29,天津市,14,50,2066,940
2022/7/30,天津市,13,60,2068,941
2022/7/31,天津市,11,62,2072,942
